Process_energyconsumption,1Process_energyconsumption,2Process_energyconsumption,Gas_consumption,Molteniron_production,TRTpower_generation,Gas_production,Coalinjection_consumption,Coke_consumption,Amount_of_blast,1BTwind_temperature,2BTwind_temperature,1Coal_ratio,2Coal_ratio,1Coke_ratio,2Coke_ratio,1CO2_contentofgas,2CO2_contentofgas,1TRTGenerationrate,2TRTGenerationrate,Hotmetal_ratio
378.43,367.43,367.43,0,23708,121.1794,3820.8177,3589.98,7854.52,200.9931,1252,1251,164.1,158.3,291.5,297.3,0,0,41.9227,41.9227,89.13
380.71,373.73,373.73,0,23619,126.1031,3828.7909,3696.73,7786.4,202.1789,1251,1250,173.7,161.5,289.7,293.3,0,0,44.5474,44.5474,88.41
368.45,369.37,369.37,0,23770,122.4084,3837.831,3717.2,7770.24,202.5513,1252,1253,168.9,164.3,289.1,289.8,23.4,23.1,42.2976,42.2976,87.56
368.11,369.42,369.42,0,24055,81.114,3887.2428,3789.29,7803.97,202.958,1253,1251,168.5,167.9,289.2,286.5,22.4,22.6,41.0913,41.0913,86.15
382.26,394.55,394.55,0,19845,44.6127,3392.0587,3123.5,6730.88,178.164,1221,1252,181.1,164.7,312.3,293.6,22,23,42.9891,42.9891,86.53
380.19,488.05,488.05,0,12820,1.8589,2093.148,1840.14,4392.09,111.5681,748,1253,102.5,163.4,396,297,0,22.5,14.1353,14.1353,88.37
368.79,367.18,367.18,0,22581,55.4279,3758.3231,3184.45,7644.23,199.92,1212,1252,137.6,164.5,314.6,295.6,22.2,23.2,42.4032,42.4032,86.86
372.18,374.64,374.64,0,23642,62.5561,3891.3417,3655.54,7828.36,201.6203,1251,1251,168.4,164.6,296.6,295.3,0,0,43.4263,43.4263,86.46
372.96,375.75,375.75,0,23668,63.0477,3892.3524,3714.69,7809.34,201.8947,1254,1253,170.5,166.6,296.1,294,0,0,43.7863,43.7863,86.28
373.15,-87.64,-87.64,0,23817,64.3996,3906.3898,3863.54,7757.97,202.6885,1254,1252,175.2,168.5,293.7,291,23,22.8,44.5654,44.5654,85.82
376.29,382.95,382.95,0,23402,64.2767,3868.1519,3944.87,7613.21,199.7975,1247,1252,178.2,173.9,298.1,289.2,22,22.7,45.2344,45.2344,85.18
372.29,374.74,374.74,0,23279,63.7851,3896.3576,3741.29,7632.37,200.6403,1244,1253,164.1,175.3,304.4,287.3,23.1,23.1,45.4386,45.4386,84.73
371.4,372.79,372.79,0,23144,60.8355,3827.2188,3636.43,7623.06,199.5623,1249,1253,161.3,175.3,306.3,286.9,23.1,22.5,43.5433,43.5433,84.66
377.45,380.62,380.62,0,22965,110.4871,3589.5933,3693.35,7570.12,199.1948,1249,1253,157.6,176.6,314.4,287.2,23.1,22.5,43.195,43.195,85.32
372.61,375.3,375.3,0,23323,120.5649,3748.5531,3482.03,7849.67,199.9151,1243,1252,149.6,175,317.9,286.7,0,0,42.1375,42.1375,84.58
